Constituency,State,MP,Party,Year,,,,,,,,,,,
PATNA,Bihar,RAM KRIPAL YADAV,JD,1992,,,,,,,,,,,
PURNEA,Bihar,RAJESH RANJAN (PAPPU YADAV),JD,1992,,,,,,,,,,,
RAJMAHAL (ST),Bihar, SIMON MARANDI,JMM,1992,,,,,,,,,,,
RANCHI,Bihar, RAM TAHAL CHOUDHARY,BJP,1992,,,,,,,,,,,
ROSERA (SC),Bihar, RAM VILAS PASWAN,JD,1992,,,,,,,,,,,
SAHARSA,Bihar, SURYA NARAIN YADAV,JD,1992,,,,,,,,,,,
SAMASTIPUR,Bihar, MANJAY LAL,JD,1992,,,,,,,,,,,
SASARAM (SC),Bihar, CHHEDI PASWAN,JD,1992,,,,,,,,,,,
SHEOHAR,Bihar, HARI KISHORE SINGH,JD,1992,,,,,,,,,,,
SINGHBHUM (ST),Bihar, KRISHNA MARANDI,JMM,1992,,,,,,,,,,,
SITAMARHI,Bihar, NAWAL KISHORE RAY,JD,1992,,,,,,,,,,,
SIWAN,Bihar, BRISHIN PATEL,JD,1992,,,,,,,,,,,
VAISHALI,Bihar, SHEO SHARAN SINGH,JD,1992,,,,,,,,,,,
CHANDNI CHOWK,Delhi, TARA CHAND KHANDELWAL,BJP,1992,,,,,,,,,,,
DELHI SADAR,Delhi, JAGDISH TYTLER,INC,1992,,,,,,,,,,,
EAST DELHI,Delhi, B.L. SHARMA 'PREM',BJP,1992,,,,,,,,,,,
KAROL BAGH (SC) ,Delhi,KALKA DASS ,BJP ,1992,,,,,,,,,,,
NEW DELHI ,Delhi,R. KHANNA,BJP,1992,,,,,,,,,,,
OUTER DELHI,Delhi, SAJJAN KUMAR,INC,1992,,,,,,,,,,,
SOUTH DELHI,Delhi, MADAN LAL KHURANA,BJP,1992,,,,,,,,,,,
AHMEDABAD,Gujarat, HARIN PATHAK,BJP,1992,,,,,,,,,,,
AMRELI,Gujarat, DILIPBHAI SANGHANI,BJP,1992,,,,,,,,,,,
ANAND,Gujarat, CHAVDA ISHVARBHAI KHODABHAI,INC,1992,,,,,,,,,,,
BANASKANTHA,Gujarat, CHAVDA HARISINHJI PATAPSINHJI,BJP,1992,,,,,,,,,,,
BARODA,Gujarat, DIPIKA CHIKHLIYA (W),BJP,1992,,,,,,,,,,,
BHAVNAGAR,Gujarat, MAHAVIRSINH HARISINHJI GOHIL,BJP,1992,,,,,,,,,,,
BROACH,Gujarat, CHANDUBHAI DESHMUKH,BJP,1992,,,,,,,,,,,
BULSAR (ST) ,Gujarat,UTTAMBHAI HARJIBHAI PATEL,INC,1992,,,,,,,,,,,
CHHOTA UDAIPUR (ST) ,Gujarat,NARANBHAI JAMLABHAI RATHAVA ,JD(G),1992,,,,,,,,,,,
DHANDHUKA (SC),Gujarat, RATILAL VERMA,BJP,1992,,,,,,,,,,,
DOHAD (ST),Gujarat, DAMOR SOMJIBHAI PUNJABHAI,INC,1992,,,,,,,,,,,
GANDHINAGAR,Gujarat, LAL KRISHNA ADVANI,BJP,1992,,,,,,,,,,,
GODHRA,Gujarat, VEGHELA SHANKERJI LAXMANJI,BJP,1992,,,,,,,,,,,
JAMNAGAR,Gujarat, KORDIYA CHANDRESH KUMAR VALJIBHAI,BJP,1992,,,,,,,,,,,
JUNAGADH,Gujarat, CHIKHALIYA BHAVENABEN DEVRAJBHAI (W),BJP,1992,,,,,,,,,,,
KAIRA,Gujarat, K.D. JESWANI,BJP,1992,,,,,,,,,,,
KAPADVANJ,Gujarat, GABHAJI MANGAJI THAKOR,BJP,1992,,,,,,,,,,,
KUTCH ,Gujarat,PATEL HARILAL NANJI ,INC,1992,,,,,,,,,,,
MANDVI (ST),Gujarat, GAMIT CHHITUBHAI DEVJIBHAI,INC,1992,,,,,,,,,,,
MEHSANA ,Gujarat,A.K. PATEL ,BJP,1992,,,,,,,,,,,
PATAN (SC),Gujarat, MAHESH KANODIYA,BJP,1992,,,,,,,,,,,
PORBANDAR,Gujarat, PATEL HIRALAL MADHAVJIBHAI,BJP,1992,,,,,,,,,,,
RAJKOT,Gujarat, SHIVLALBHAI VERARIA,BJP,1992,,,,,,,,,,,
SABARKANTHA,Gujarat, ARVIND TRIVEDI (LANKESH),BJP,1992,,,,,,,,,,,
SURAT,Gujarat, KASHIRAM RANA,BJP,1992,,,,,,,,,,,
SURENDRANAGAR,Gujarat, KOLIPATEL SOMABHAI GADABHAI,BJP,1992,,,,,,,,,,,
AMBALA (SC) ,Haryana,RAM PRAKASH ,INC,1992,,,,,,,,,,,
BHIWANI,Haryana, JANGBIR SINGH,HVP,1992,,,,,,,,,,,
FARIDABAD,Haryana, AVTAR SINGH BHADANA,INC,1992,,,,,,,,,,,
HISSAR,Haryana, NARAIN SINGH,INC,1992,,,,,,,,,,,
KARNAL,Haryana, CHIRANJI LAL SHARMA,INC,1992,,,,,,,,,,,
KURUKSHETRA,Haryana, TARA SINGH,INC,1992,,,,,,,,,,,
MAHENDRAGARH,Haryana, RAM SINGH,INC,1992,,,,,,,,,,,
ROHTAK,Haryana, BHUPENDER SINGH,INC,1992,,,,,,,,,,,
SIRSA (SC) ,Haryana,SHAILJA (W) ,INC,1992,,,,,,,,,,,
SONEPAT,Haryana, DHARAMPAL SINGH,INC,1992,,,,,,,,,,,
HAMIRPUR ,Himachal Pradesh,PREM KUMAR DHUMAL ,BJP,1992,,,,,,,,,,,
KANGRA,Himachal Pradesh, D.D. KHANORIA,BJP,1992,,,,,,,,,,,
MANDI,Himachal Pradesh, SUKH RAM,INC,1992,,,,,,,,,,,
SIMLA (SC) ,Himachal Pradesh,KRISHAN DUTT SULTANPURI ,INC,1992,,,,,,,,,,,
BAGALKOT,Karnataka, SIDDAPPA BHIMAPPA NYAMAGOUDAR,INC,1992,,,,,,,,,,,
BANGALORE NORTH ,Karnataka,C.K. JAFFER SHARIEF ,INC,1992,,,,,,,,,,,
BANGALORE SOUTH,Karnataka, K. VENKATGIRI GOWDA,BJP,1992,,,,,,,,,,,
BELGAUM,Karnataka, SIDNAL SHANMUKHAPPA BASAPPA,INC,1992,,,,,,,,,,,
BELLARY,Karnataka, BASAVARAJESHWARI (W),INC,1992,,,,,,,,,,,
BIDAR (SC) ,Karnataka,RAMCHANDRA VEERAPPA ,BJP,1992,,,,,,,,,,,
BIJAPUR ,Karnataka,GUDADINNI BASAGONDAPPA KADAPPA,INC,1992,,,,,,,,,,,
CHAMARAJANAGAR (SC) ,Karnataka,V. SREENIVASA PRASAD ,INC,1992,,,,,,,,,,,
CHIKBALLAPUR,Karnataka, V. KRISHNA RAO,INC,1992,,,,,,,,,,,
CHIKKODI (SC),Karnataka, B. SHANKARANAND,INC,1992,,,,,,,,,,,
CHIKMAGALUR,Karnataka, D.K. THARADEVI (W),INC,1992,,,,,,,,,,,
CHITRADURGA,Karnataka, C.P. MUDALAGIRIYAPPA,INC,1992,,,,,,,,,,,
DAVANGERE,Karnataka, CHANNAIAH ODEYAR,INC,1992,,,,,,,,,,,
DHARWAD NORTH,Karnataka, D.K. NAIKAR,INC,1992,,,,,,,,,,,
DHARWAD SOUTH,Karnataka, B.M. MUJAHID,INC,1992,,,,,,,,,,,
GULBARGA,Karnataka, B.G. JAWALI,INC,1992,,,,,,,,,,,
HASSAN,Karnataka, H.D. DEVEGOWDA,JP,1992,,,,,,,,,,,
KANAKAPURA,Karnataka, M.V. CHANDRASHEKARA MURTHY,INC,1992,,,,,,,,,,,
KANARA,Karnataka, NAIK G. DEVARAYA,INC,1992,,,,,,,,,,,
KOLAR (SC),Karnataka, K.H. MUNIYAPPA,INC,1992,,,,,,,,,,,
KOPPAL,Karnataka, ANWARI BASAVARAJ PATIL,INC,1992,,,,,,,,,,,
MANDYA,Karnataka, G. MADEGOWDA,INC,1992,,,,,,,,,,,
MANGALORE,Karnataka, V. DHANANJAYA KUMAR,BJP,1992,,,,,,,,,,,
MYSORE,Karnataka, CHANDRAPRABHA URS (W),INC,1992,,,,,,,,,,,
RAICHUR,Karnataka, VENKATESH NAIK,INC,1992,,,,,,,,,,,
SHIMOGA,Karnataka, K.G. SHIVAPPA,INC,1992,,,,,,,,,,,
TUMKUR,Karnataka, S. MALLIKARJUNAIAH,BJP,1992,,,,,,,,,,,
UDUPI,Karnataka, OSCAR FERNANDES,INC,1992,,,,,,,,,,,
ADOOR (SC),Kerala, KODIKUNNIL SURESH,INC,1992,,,,,,,,,,,
ALLEPPEY,Kerala, T.J. ANJALOSE,CPM,1992,,,,,,,,,,,
BADAGARA,Kerala, UNNIKRISHNAN K.P. (SCS),ICS(SCS),1992,,,,,,,,,,,
CALICUT,Kerala, K. MURALEEDHARAN,INC,1992,,,,,,,,,,,
CANNANORE,Kerala, MULLAPPALLY RAMACHANDRAN,INC,1992,,,,,,,,,,,
CHIRAYINKIL,Kerala, SUSEELA GOPALAN (W),CPM,1992,,,,,,,,,,,
ERNAKULAM,Kerala, K.V. THOMAS,INC,1992,,,,,,,,,,,
IDUKKI,Kerala, PALAI K.M. MATHEW,INC,1992,,,,,,,,,,,
KASARAGOD ,Kerala,M. RAMANNA RAI M,CP,1992,,,,,,,,,,,
KOTTAYAM,Kerala, RAMESH CHENNITHALA,INC,1992,,,,,,,,,,,
MANJERI,Kerala, E. AHAMED,MUL,1992,,,,,,,,,,,
MAVELIKARA,Kerala, P.J. KURIAN,INC,1992,,,,,,,,,,,
MUKUNDAPURAM,Kerala, SAVITHRI LAKSHMANAN (W),INC,1992,,,,,,,,,,,
MUVATTUPUZHA,Kerala, P.C. THOMAS,KCM,1992,,,,,,,,,,,
OTTAPALAM (SC),Kerala, K.R. NARAYANAN,INC,1992,,,,,,,,,,,
PALGHAT,Kerala, V.S. VIJAYARAGHAVAN,INC,1992,,,,,,,,,,,
PONNANI,Kerala, EBRAHIM SULAIMAN SAIT,MUL,1992,,,,,,,,,,,
QUILON,Kerala, S. KRISHNA KUMAR,INC,1992,,,,,,,,,,,
TRICHUR,Kerala, P.C. CHACKO,INC,1992,,,,,,,,,,,
TRIVANDRUM ,Kerala,A. CHARLES,INC,1992,,,,,,,,,,,
BALAGHAT,Madhya Pradesh, VISHVESHWAR BHAGAT,INC,1992,,,,,,,,,,,
BASTAR (ST),Madhya Pradesh, MANKURAM SODHI,INC,1992,,,,,,,,,,,
BETUL,Madhya Pradesh, ASLAM-SHER-KHAN,INC,1992,,,,,,,,,,,
BHIND,Madhya Pradesh, YOGANAND SARASWATI,BJP,1992,,,,,,,,,,,
BHOPAL,Madhya Pradesh, SUSHIL CHANDRA VERMA,BJP,1992,,,,,,,,,,,
BILASPUR (SC),Madhya Pradesh, KHELAN RAM JANGDE,INC,1992,,,,,,,,,,,
CHHINDWARA,Madhya Pradesh, KAMAL NATH,INC,1992,,,,,,,,,,,
DAMOH,Madhya Pradesh, RAMKRISHNA KUSMARIA,BJP,1992,,,,,,,,,,,
DHAR (ST),Madhya Pradesh, SURAJBHANU SOLANKI,INC,1992,,,,,,,,,,,
DURG,Madhya Pradesh, CHANDULAL CHANDRAKAR,INC,1992,,,,,,,,,,,
GUNA,Madhya Pradesh, VIJAYA RAJE SCINDIA (W),BJP,1992,,,,,,,,,,,
GWALIOR,Madhya Pradesh, MADHAV RAO SCINDIA,INC,1992,,,,,,,,,,,
HOSHANGABAD,Madhya Pradesh, SARTAJ SINGH,BJP,1992,,,,,,,,,,,
INDORE,Madhya Pradesh, SUMITRA MAHAJAN (W),BJP,1992,,,,,,,,,,,
JABALPUR,Madhya Pradesh, SHRAWAN KUMAR PATEL,INC,1992,,,,,,,,,,,
JANJGIR,Madhya Pradesh, BHAWANI LAL VERMA,INC,1992,,,,,,,,,,,
JHABUA (ST),Madhya Pradesh, DILEEPSINGH BHURIA,INC,1992,,,,,,,,,,,
KANKER (ST),Madhya Pradesh, ARWIND NETAM,INC,1992,,,,,,,,,,,
KHAJURAHO ,Madhya Pradesh,UMA BHARTI (W) ,BJP,1992,,,,,,,,,,,
KHANDWA,Madhya Pradesh, MAHENDER KUMAR SINGH,INC,1992,,,,,,,,,,,
KHARGONE,Madhya Pradesh, RAMESHWAR PATIDAR,BJP,1992,,,,,,,,,,,
MAHASAMUND,Madhya Pradesh, PAWAN DIWAN,INC,1992,,,,,,,,,,,
MANDLA (ST),Madhya Pradesh, MOHAN LAL,INC,1992,,,,,,,,,,,
MANDSAUR ,Madhya Pradesh,LAXMINARAIN PANDEY ,BJP,1992,,,,,,,,,,,
MORENA (SC) ,Madhya Pradesh,BARELAL JATAV ,INC,1992,,,,,,,,,,,
RAIGARH (ST),Madhya Pradesh, PUSHPADEVI SINGH (W),INC,1992,,,,,,,,,,,
RAIPUR,Madhya Pradesh, VIDYACHARAN SHUKLA,INC,1992,,,,,,,,,,,
RAJGARH,Madhya Pradesh, DIGVIJAY SINGH,INC,1992,,,,,,,,,,,
RAJNANDGAON,Madhya Pradesh, SHIVENDRA BAHADUR SINGH,INC,1992,,,,,,,,,,,
REWA,Madhya Pradesh, BHEEM SINGH PATEL,BSP,1992,,,,,,,,,,,
SAGAR (SC),Madhya Pradesh, ANAND AHIRWAR,INC,1992,,,,,,,,,,,
SARANGARH (SC),Madhya Pradesh, PARAS RAM BHARADWAJ,INC,1992,,,,,,,,,,,
SATNA,Madhya Pradesh, ARJUN SINGH,INC,1992,,,,,,,,,,,
SEONI,Madhya Pradesh, VIMLA VERMA (W),INC,1992,,,,,,,,,,,
SHAHDOL (ST),Madhya Pradesh, DALBIR SINGH,INC,1992,,,,,,,,,,,
SHAJAPUR (SC),Madhya Pradesh, PHOOLCHAND VERMA,BJP,1992,,,,,,,,,,,
SIDHI (ST),Madhya Pradesh, MOTILAL SINGH,INC,1992,,,,,,,,,,,
SURGUJA (ST),Madhya Pradesh, KHELSAI SINGH,INC,1992,,,,,,,,,,,
UJJAIN (SC),Madhya Pradesh, SATYANARAYAN JATIYA,BJP,1992,,,,,,,,,,,
VIDISHA,Madhya Pradesh,S.SINGH,BJP,1992,,,,,,,,,,,
AHMEDNAGAR,Maharashtra, GADAKH YESHAWANTRAO,INC,1992,,,,,,,,,,,
AKOLA,Maharashtra, FUNDKAR PANDURANG PUNDLIK,BJP,1992,,,,,,,,,,,
AMRAVATI,Maharashtra, PRATIBHA DEVISINHA PATIL (W),INC,1992,,,,,,,,,,,
AURANGABAD,Maharashtra, MORESHWAR SAVE,SHS,1992,,,,,,,,,,,
BARAMATI,Maharashtra,P. S. C. GOVINDRAO,INC,1992,,,,,,,,,,,
BEED,Maharashtra,KSHIRSAGAR KESHARBAI SONAJIRAO ALIAS KAKU (W),INC,1992,,,,,,,,,,,
BHANDARA,Maharashtra, PRAFUL MANOHAR BHAI PATEL,INC,1992,,,,,,,,,,,
BOMBAY NORTH ,Maharashtra,RAM NAIK ,BJP,1992,,,,,,,,,,,
BOMBAY NORTH CENTRAL ,Maharashtra,DIGHE SHARAD SHANKAR ,INC,1992,,,,,,,,,,,
BOMBAY NORTH EAST ,Maharashtra,GURADAS KAMAT ,INC,1992,,,,,,,,,,,
BOMBAY NORTH WEST ,Maharashtra,SUNIL DUTT, INC,1992,,,,,,,,,,,
BOMBAY SOUTH,Maharashtra, DEORA MURLI,INC,1992,,,,,,,,,,,
BOMBAY SOUTH CENTRAL ,Maharashtra,MOHAN RAWALE ,SHS,1992,,,,,,,,,,,
BULDHANA (SC),Maharashtra, WASNIK MUKUL BALKRISHNA,INC,1992,,,,,,,,,,,
CHANDRAPUR,Maharashtra, POTDUKHE SHANTARAM,INC,1992,,,,,,,,,,,
CHIMUR,Maharashtra, MUTTEMWAR VILAS BABURAO,INC,1992,,,,,,,,,,,
DAHANU (ST),Maharashtra, DAMU BARKU SHINGDA,INC,1992,,,,,,,,,,,
DHULE,Maharashtra, (ST) CHAURE BAPU HARI,INC,1992,,,,,,,,,,,
ERANDOL,Maharashtra, PATIL VIJAY NAVAL,INC,1992,,,,,,,,,,,
HINGOLI,Maharashtra, GUNDEWAR VILASRAO NAGNATHRAO,SHS,1992,,,,,,,,,,,
ICHALKARANJI,Maharashtra, MANE BALASO ALIAS RAJARAM SHANKARRAO,INC,1992,,,,,,,,,,,
JALGAON,Maharashtra, GUNAVANT RAMBHAU SARODA,BJP,1992,,,,,,,,,,,
JALNA,Maharashtra, ANKUSHRAO TOPE,INC,1992,,,,,,,,,,,
KARAD,Maharashtra, CHAVAN PRITHVIRAJ DAJISHAHEB,INC,1992,,,,,,,,,,,
KHED,Maharashtra, NAVALE VIDURA VITHOBA,INC,1992,,,,,,,,,,,
KOLABA,Maharashtra, A.R. ANTULAY,INC,1992,,,,,,,,,,,
KOLHAPUR ,Maharashtra,GAIKWAD UDAYSINGRAO NANASAHEB ,INC,1992,,,,,,,,,,,
KOPARGAON,Maharashtra, KALE SHANKARRAO DEORAM,INC,1992,,,,,,,,,,,
LATUR ,Maharashtra,PATIL SHIVRAJ VISHWANATH ,INC,1992,,,,,,,,,,,
MALEGAON (ST),Maharashtra, KAHANDOLE ZAMRU MANGLU,INC,1992,,,,,,,,,,,
NAGPUR,Maharashtra, MEGHE DATTAJI RAGHOBAJI,INC,1992,,,,,,,,,,,
NANDED,Maharashtra, SURYAKANTS PATIL (W),INC,1992,,,,,,,,,,,
NANDURBAR (ST),Maharashtra, GAVIT MANIKRAO HODALYA,INC,1992,,,,,,,,,,,
NASHIK,Maharashtra, PAWAR VASANT NIWRUTTI,INC,1992,,,,,,,,,,,
OSMANABAD (SC),Maharashtra, KAMBLE ARVIND TULSHIRAM,INC,1992,,,,,,,,,,,
PANDHARPUR (SC),Maharashtra, THORAT SANDIPAN BHAGWAN,INC,1992,,,,,,,,,,,
PARBHANI,Maharashtra, DESHMUKH ASHOKRAO ANANDRAO,SHS,1992,,,,,,,,,,,
PUNE,Maharashtra, ANNA JOSHI,BJP,1992,,,,,,,,,,,
RAJAPUR ,Maharashtra,SUDHIR SAWANT ,INC,1992,,,,,,,,,,,
RAMTEK,Maharashtra, BHONSLE TEJSINGHARAO LAXMANRAO,INC,1992,,,,,,,,,,,
RATNAGIRI,Maharashtra, GOVINDRAM NIKAM,INC,1992,,,,,,,,,,,
SANGLI,Maharashtra, PATIL PRAKASHBAPU VASANTRAO,INC,1992,,,,,,,,,,,
SATARA,Maharashtra, BHOSALE PRATAPRAO BABURAO,INC,1992,,,,,,,,,,,
SHOLAPUR,Maharashtra, SADUL DHARMANNA MONDAYYA,INC,1992,,,,,,,,,,,
THANE,Maharashtra, KAPSE RAMCHANDRA GANESH,BJP,1992,,,,,,,,,,,
WARDHA,Maharashtra, GHANGARE RAMCHANDRA MAROTRAO,CPM,1992,,,,,,,,,,,
WASHIM,Maharashtra, ANANTRAO VITTHALRAO DESHMUKH,INC,1992,,,,,,,,,,,
YAVATMAL,Maharashtra, UTTAMRAO DEORAO PATIL,INC,1992,,,,,,,,,,,
ASKA,Orissa, RAMACHANDRA RATH,INC,1992,,,,,,,,,,,
BALASORE,Orissa, KARTIKESWAR PATRA,INC,1992,,,,,,,,,,,
BERHAMPUR,Orissa, GOPINATH GAJAPATHI NARYANDEO,INC,1992,,,,,,,,,,,
BHADRAK (SC),Orissa, ARJUN CHARAN SETHI,JD,1992,,,,,,,,,,,
BHUBANESWAR,Orissa, SHIVAJI PATNAIK,CPM,1992,,,,,,,,,,,
BOLANGIR,Orissa, SARAT CHANDRA PATTANAYAK,INC,1992,,,,,,,,,,,
CUTTACK,Orissa, SRIKANTA JENA,JD,1992,,,,,,,,,,,
DEOGARH,Orissa, SRIBALLAV PANIGRAHI,INC,1992,,,,,,,,,,,
DHENKANAL ,Orissa,RAJA KAMAKHYA PRASAD SINGHDEO MAHINDR BAHADUR ,INC,1992,,,,,,,,,,,
JAGATSINGHPUR,Orissa, LOKNATH CHOUDHURY,CPI,1992,,,,,,,,,,,
JAJPUR (SC),Orissa, ANADI CHARAN DAS,JD,1992,,,,,,,,,,,
KALAHANDI,Orissa, SUBASH CHANDRA NAYAK,INC,1992,,,,,,,,,,,
KENDRAPARA,Orissa, RABI RAY,JD,1992,,,,,,,,,,,
KEONJHAR (ST) ,Orissa,GOVINDA CHANDRA MUNDA ,JD,1992,,,,,,,,,,,
KORAPUT (ST),Orissa, GIRIDHAR GOMANGO,INC,1992,,,,,,,,,,,
MAYURBHANJ (ST) ,Orissa,BHAGEY GOBARDHAN ,INC,1992,,,,,,,,,,,
NOWRANGPUR (ST),Orissa, KHAGAPATI PRADHANI,INC,1992,,,,,,,,,,,
PHULBANI (SC),Orissa, MRUTYUNJAYA NAYAK,INC,1992,,,,,,,,,,,
PURI,Orissa, BRAJA KISHORE TRIPATHY,JD,1992,,,,,,,,,,,
SAMBALPUR,Orissa, KRUPASINDHU BHOI,INC,1992,,,,,,,,,,,
SUNDARGARH (ST) ,Orissa,FRIDA TOPNO (W) ,INC,1992,,,,,,,,,,,
AMRITSAR,Punjab, RAGHUNANDAN LAL BHATIA,INC,1992,,,,,,,,,,,
BHATINDA (SC),Punjab, KEWAL SINGH,INC,1992,,,,,,,,,,,
FARIDKOT,Punjab, JAGMEET SINGH,INC,1992,,,,,,,,,,,
FEROZEPUR,Punjab, MOHAN SINGH S/O KANSHA SINGH,BSP,1992,,,,,,,,,,,
GURDASPUR,Punjab,SUKHBUNS KAUR (W),INC,1992,,,,,,,,,,,
HOSHIARPUR,Punjab, KAMAL CHAUDHARY,INC,1992,,,,,,,,,,,
JULLUNDUR,Punjab, YASH,INC,1992,,,,,,,,,,,
LUDHIANA,Punjab, GURCHARAN SINGH GALIB,INC,1992,,,,,,,,,,,
PATIALA,Punjab, SANT RAM SINGLA,INC,1992,,,,,,,,,,,
PHILLAUR (SC),Punjab, SANTOSH CHAUDHARY (W),INC,1992,,,,,,,,,,,
ROPAR,Punjab, (SC) HARCHAND SINGH,INC,1992,,,,,,,,,,,
SANGRUR,Punjab, GURCHARAN SINGH DADAHOOR,INC,1992,,,,,,,,,,,
TARN TARAN,Punjab, SURINDER SINGH KAIRON,INC,1992,,,,,,,,,,,
AJMER,Rajasthan, RASA SINGH RAWAT,BJP,1992,,,,,,,,,,,
ALWAR,Rajasthan, MAHENDRA KUMARI (W),BJP,1992,,,,,,,,,,,
BANSWARA (ST),Rajasthan, PRABHULAL RAWAT,INC,1992,,,,,,,,,,,
BARMER,Rajasthan, RAM NIWAS MIRDHA,INC,1992,,,,,,,,,,,
BAYANA (SC),Rajasthan, GANGARAM KOLI,BJP,1992,,,,,,,,,,,
BHARATPUR,Rajasthan, KRASHENDER KAUR (DEEPA) (W),BJP,1992,,,,,,,,,,,
BHILWARA,Rajasthan, SHIV CHARAN MATHUR,INC,1992,,,,,,,,,,,
BIKANER,Rajasthan, MANPHOOL,INC,1992,,,,,,,,,,,
CHITTORGARH,Rajasthan, JASWANT SINGH,BJP,1992,,,,,,,,,,,
CHURU,Rajasthan, RAM SINGH,BJP,1992,,,,,,,,,,,
DAUSA,Rajasthan, RAJESH PILOT,INC,1992,,,,,,,,,,,
GANGANAGAR (SC) ,Rajasthan,BIRBAL RAM ,INC,1992,,,,,,,,,,,
JAIPUR,Rajasthan, GIRDHARI LAL BHARGAVA,BJP,1992,,,,,,,,,,,
JALORE (SC),Rajasthan, BUTA SINGH,INC,1992,,,,,,,,,,,
JHALAWAR,Rajasthan, VASUNDHARA RAJE (W),BJP,1992,,,,,,,,,,,
JHUNJHUNU,Rajasthan, AYUB KHAN,INC,1992,,,,,,,,,,,
JODHPUR,Rajasthan, ASHOK GEHLOT,INC,1992,,,,,,,,,,,
KOTA ,Rajasthan,DAU DAYAL JOSHI ,BJP,1992,,,,,,,,,,,
NAGAUR ,Rajasthan,NATHURAM MIRDHA ,INC,1992,,,,,,,,,,,
PALI,Rajasthan, GUMANMAL LODHA,BJP,1992,,,,,,,,,,,
SALUMBER (ST),Rajasthan, BHERU LAL MEENA,INC,1992,,,,,,,,,,,
SAWAI MADHOPUR (ST) ,Rajasthan,KUNJILAL ,BJP,1992,,,,,,,,,,,
SIKAR,Rajasthan, BALRAM,INC,1992,,,,,,,,,,,
TONK (SC),Rajasthan, RAM NARAIN BERWA,BJP,1992,,,,,,,,,,,
UDAIPUR,Rajasthan, GIRJA VYAS (W),INC,1992,,,,,,,,,,,
ARAKKONAM,Tamil Nadu, JEEVARATHINAM R.,INC,1992,,,,,,,,,,,
CHENGALPATTU,Tamil Nadu, RAJEMDRA KUMAR S.S.R.,ADK,1992,,,,,,,,,,,
CHIDAMBARAM (SC),Tamil Nadu, VALLALPERUMAN P.,INC,1992,,,,,,,,,,,
COIMBATORE,Tamil Nadu, KUPPUSWAMY C.K.,INC,1992,,,,,,,,,,,
CUDDALORE,Tamil Nadu, KALIAPERUMAL P.P.,INC,1992,,,,,,,,,,,
DHARMAPURI,Tamil Nadu, THANGKA BALU K.V.,INC,1992,,,,,,,,,,,
DINDIGUL,Tamil Nadu, C. SRINIVASAN,ADK,1992,,,,,,,,,,,
GOBICHETTIPALAYAM,Tamil Nadu, NARAYANAN P.G.,ADK,1992,,,,,,,,,,,
KARUR,Tamil Nadu, MURUGESAN N.,ADK,1992,,,,,,,,,,,
KRISHNAGIRI,Tamil Nadu, RAMA MURTHY K.,INC,1992,,,,,,,,,,,
MADRAS CENTRAL,Tamil Nadu, ANBARASU ERA,INC,1992,,,,,,,,,,,
MADRAS NORTH  ,Tamil Nadu,D. PANDIAN,INC,1992,,,,,,,,,,,
MADRAS SOUTH,Tamil Nadu, R. SRIDHARAN,ADK,1992,,,,,,,,,,,
MADURAI,Tamil Nadu, RAM BABU A.G.S.,INC,1992,,,,,,,,,,,
MAYILADUTURAI,Tamil Nadu, MANI SHANKAR AIYAR,INC,1992,,,,,,,,,,,
NAGAPATTINAM (SC) ,Tamil Nadu,PADMA (W),INC,1992,,,,,,,,,,,
NAGERCOIL ,Tamil Nadu,N. DENNIS,INC,1992,,,,,,,,,,,
NILGIRIS,Tamil Nadu, PRABHU R.,INC,1992,,,,,,,,,,,
PALANI,Tamil Nadu, SENAPATHI GOUNDER A.,INC,1992,,,,,,,,,,,
PERAMBALUR (SC),Tamil Nadu, ASOKRAJ A.,ADK,1992,,,,,,,,,,,
PERIYAKULAM,Tamil Nadu, R. RAMASAMY,ADK,1992,,,,,,,,,,,
POLLACHI (SC),Tamil Nadu, RAJARAVIVARMA B.,ADK,1992,,,,,,,,,,,
PUDUKKOTTAI,Tamil Nadu, SUNDARARAJ N.,INC,1992,,,,,,,,,,,
RAMANATHAPURAM,Tamil Nadu, RAJESHWARAN V.,INC,1992,,,,,,,,,,,
RASIPURAM (SC),Tamil Nadu, DEVARAJAN B.,INC,1992,,,,,,,,,,,
SALEM,Tamil Nadu, RANGARAJANM KUMARAMANGALAM,INC,1992,,,,,,,,,,,
SIVAGANGA,Tamil Nadu, CHINDAMBARAM P.,INC,1992,,,,,,,,,,,
SIVAKASI,Tamil Nadu, KANGA GOVINDARAJULU R.,ADK,1992,,,,,,,,,,,
SRIPERUMBUDUR (SC),Tamil Nadu, MARAGATHAM CHANDRASEKAR (W),INC,1992,,,,,,,,,,,
TENKASI (SC),Tamil Nadu, ARUNACHALAM M.,INC,1992,,,,,,,,,,,
THANJAVUR,Tamil Nadu, THULASIAH VANDAYAR K.,INC,1992,,,,,,,,,,,
TINDIVANAM,Tamil Nadu, RAMA MURTHEE K.,INC,1992,,,,,,,,,,,
TIRUCHENDUR,Tamil Nadu, DHANUSHKODI ATHINTHAN R.,INC,1992,,,,,,,,,,,
TIRUCHENGODE,Tamil Nadu, SOUNDARAM K.S. (W),ADK,1992,,,,,,,,,,,
TIRUCHIRAPPALLI,Tamil Nadu, L. ADAIKALA RAJ,INC,1992,,,,,,,,,,,
TIRUNELVELI,Tamil Nadu, JANARTHANAN M.R.,ADK,1992,,,,,,,,,,,
